gene_a,gene_b,combined_score
IRF8,STAT3,711
IRF8,CXCL10,705
IRF8,SPIB,857
IRF8,ISG15,729
IRF8,TBX21,716
IRF8,STAT1,904
IRF8,TNF,745
IRF8,STAT2,850
IRF8,HLA-DRA,716
IRF8,BATF,770
IRF8,FOS,752
IRF8,MAFB,763
IRF8,IFNG,859
IRF8,IRF1,983
IRF8,IFNB1,751
IRF8,TYROBP,714
ZNF174,ZNF397,794
NCOR1,HEXIM1,709
NCOR1,NR6A1,705
NCOR1,SMARCA2,782
NCOR1,TRIM28,893
NCOR1,CTCF,898
NCOR1,MXI1,700
NCOR1,NCOR2,998
NCOR1,YY1,931
NCOR1,TADA3,829
NCOR1,SMAD3,923
NCOR1,TBL1X,999
NCOR1,TBL1XR1,999
NCOR1,RORB,758
NCOR1,HDAC4,999
NCOR1,HTT,927
NCOR1,BACH2,890
NCOR1,NR3C1,995
NCOR1,NR4A1,748
NCOR1,EZH2,812
NCOR1,RBBP7,921
NCOR1,ZBTB16,975
NCOR1,HDAC6,782
IMPA2,GPI,864
IMPA2,INPP4B,910
IMPA2,GNAL,845
IMPA2,PLCD1,711
ESCO1,RFC3,832
ESCO1,CHTF18,964
ESCO1,STAG2,839
ESCO1,PDS5A,994
ESCO1,STAG1,952
ESCO1,SMC4,726
ERBB2,CRKL,729
ERBB2,FYN,807
ERBB2,CCND1,904
ERBB2,ABCG2,740
ERBB2,CD8A,720
ERBB2,PTK6,838
ERBB2,FCGR3A,839
ERBB2,HSP90B1,781
ERBB2,JAK1,959
ERBB2,FCGR3B,789
ERBB2,GRAP2,774
ERBB2,KRAS,966
ERBB2,EFNA5,719
ERBB2,PIK3R1,995
ERBB2,CADM1,700
ERBB2,HSPA5,721
ERBB2,EFNA3,711
ERBB2,PDGFD,726
ERBB2,PARP1,741
ERBB2,MYC,886
ERBB2,BCL2,849
ERBB2,TNFRSF9,768
ERBB2,ACTB,932
ERBB2,JAK2,966
ERBB2,STAT1,821
ERBB2,ADRB2,822
ERBB2,STAT3,948
ERBB2,JUN,759
ERBB2,MATK,898
ERBB2,AREG,959
ERBB2,EGF,999
ERBB2,CDC37,891
ERBB2,IL6,752
ERBB2,TOB1,854
ERBB2,PDGFRB,874
TXNL4A,CDC40,825
TXNL4A,LSM2,993
TXNL4A,CWC22,911
TXNL4A,LSM6,997
TXNL4A,RNF113A,912
TXNL4A,SRRT,812
TXNL4A,TCERG1,803
TXNL4A,SF3B3,990
TXNL4A,WBP11,893
AKAP8,PRKACB,814
AKAP8,DPY30,829
AKAP8,AKAP5,842
CCDC97,SF3B3,806
UAP1,GALE,886
GOLPH3L,MYO18A,778
WDPCP,TMEM67,761
WDPCP,BBS1,796
WDPCP,CCDC28B,820
WDPCP,BBS7,814
WDPCP,BBS4,766
MEIS1,HOXB2,765
MEIS1,EZH2,703
MEIS1,MLLT3,732
MEIS1,HOXA10,863
MEIS1,PBX1,999
MEIS1,FCRLA,766
MEIS1,KMT2A,705
ACKR3,CXCL11,998
ACKR3,CCL4,742
ACKR3,CXCL10,863
ACKR3,CXCL9,807
ACKR3,CCL13,720
ACKR3,CXCR3,729
ZKSCAN7,TRIM28,972
MAATS1,PRKAR2B,825
FTH1,NCOA4,999
FTH1,MARK2,776
FTH1,ROM1,775
FTH1,FTL,999
AMT,GLUL,879
AMT,ATIC,964
DGKQ,AGPAT4,706
DGKQ,CHPT1,701
DGKQ,AGPAT5,700
DGKQ,PLCD1,720
CENPC,CENPL,998
CENPC,MIS18A,895
CENPC,ZWINT,890
CENPC,NDC80,903
CENPC,MIS18BP1,912
ENOPH1,ADI1,997
ENOPH1,CSTF3,760
ENOPH1,MRI1,975
SPATA5,DERL1,726
PLK2,CENPJ,931
PLK2,SNCA,771
GZMA,EOMES,814
GZMA,KLRD1,906
GZMA,CXCL9,819
GZMA,XCL1,768
GZMA,CD8B,717
GZMA,IL2RB,901
GZMA,TBX21,770
GZMA,IL2,737
GZMA,IDO1,728
GZMA,CTSW,710
GZMA,CD3E,702
GZMA,SH2D1A,791
GZMA,CTLA4,712
GZMA,CXCR6,856
GZMA,CST7,718
GZMA,NME1,873
GZMA,PDCD1,778
GZMA,KLRB1,944
GZMA,LAG3,805
GZMA,KLRG1,748
GZMA,F2R,828
GZMA,TIGIT,738
GZMA,IL18RAP,783
GZMA,ICOS,723
GZMA,GZMK,971
GZMA,GZMH,877
GZMA,IL7R,713
GZMA,FASLG,889
GZMA,CTSC,854
GZMA,CD3G,760
GZMA,GZMB,904
GZMA,CD8A,964
GZMA,CD247,866
GZMA,NDUFS3,756
GZMA,IFNG,841
GZMA,NKG7,937
GZMA,CCL5,900
GZMA,GNLY,976
GZMA,PRF1,998
GZMA,CD2,923
GZMA,HMGB2,753
IQGAP2,RAC2,935
FEM1C,CUL2,984
FEM1C,KLHDC3,941
PLA2G7,APOA1,924
PLA2G7,CHPT1,929
PLA2G7,PLA2G12A,754
PLA2G7,APOE,970
PLA2G7,CLU,842
PLA2G7,PAFAH2,910
PHIP,ATRX,742
PHIP,DDB1,910
PHIP,CUL4B,898
SHPRH,RAD18,994
SHPRH,SMARCA2,805
SHPRH,HLTF,723
SHPRH,PCNA,850
CCT6A,SDF2L1,722
CCT6A,DNAJC9,947
CCT6A,BAG3,754
CCT6A,HSPD1,871
CCT6A,CDC37,931
CCT6A,HSPE1,880
CCT6A,CCT4,999
CCT6A,VBP1,975
CCT6A,TUBA1B,897
CCT6A,PFDN1,958
CCT6A,MOB4,994
CCT6A,TCP1,999
CCT6A,STRN3,994
CCT6A,RUVBL1,751
CCT6A,CCT2,999
NOM1,LTV1,717
NOM1,MPHOSPH10,968
NOM1,LMBR1,737
NOM1,UTP3,988
NOM1,BYSL,748
NOM1,NGDN,985
NONO,MYC,777
NONO,SRSF1,809
NONO,MATR3,993
NONO,NUDT21,700
NONO,LUC7L3,763
NONO,FUS,956
NONO,IGFBP3,762
NONO,HEXIM1,759
UPF3B,RNPS1,999
UPF3B,UPF1,999
UPF3B,PPIG,857
UPF3B,DCP1A,763
UPF3B,SRRT,808
UPF3B,NCBP2,810
UPF3B,CCDC12,837
UPF3B,CWC22,906
UPF3B,SMG6,903
UPF3B,SRSF11,911
UPF3B,CDC40,816
CHRNA6,CHRNB1,752
CHRNA6,JAK2,900
DOK2,LCK,837
DOK2,FYN,740
TERF1,TNKS1BP1,867
TERF1,STAG1,902
TERF1,TERF2IP,999
TERF1,POT1,999
TERF1,SYCP3,705
TERF1,FEN1,725
TERF1,ATRX,753
TERF1,BLM,886
PLIN2,BTN3A2,913
PLIN2,ABHD5,898
PLIN2,ERMAP,923
DPH7,DNAJC24,809
DPH7,DPH2,902
ABLIM1,ABLIM3,935
ABLIM1,RAC2,917
AASDHPPT,OXSM,761
AASDHPPT,TMEM126B,851
AASDHPPT,NDUFAB1,780
MTA2,MTA1,998
MTA2,BCL11A,775
MTA2,EZH2,816
MTA2,RBBP7,999
ROM1,FTH1,775
ROM1,PDE6B,764
ROM1,MARK2,763
ROM1,TOPORS,701
ROM1,PRCD,716
ROM1,PDE6A,803
ESAM,CLDN5,970
MYL9,TPM1,840
MYL9,PPP1CB,974
MYL9,MYO18A,730
MYL9,ACTB,945
MYL9,MYLK,989
MRPL49,NDUFAB1,940
MRPL49,MRPS6,988
MRPL49,MRPL17,996
MRPL49,MRPS23,884
MRPL49,MRPL18,948
MRPL49,CD74,769
MRPL49,MRPS16,994
MRPL49,PTCD3,837
MRPL49,RPS18,836
MRPL49,IMP3,738
MRPL49,MRPL35,966
MRPL49,MRPS30,976
MRPL49,OXA1L,919
MRPL49,MRPL10,993
MRPL49,TIMM9,771
MRPL49,MALSU1,849
MRPL49,MRPL1,939
MRPL49,SOD2,775
MRPL49,PEBP1,787
MRPL49,MRPL48,941
MRPL49,MRPL34,993
MRPL49,RPL3,814
ARID5B,C16orf87,852
PDCD4,SMAD5,766
PDCD4,TPM1,705
PDCD4,AGO2,814
PDCD4,STAT4,766
PDCD4,RPS6KB1,820
DENR,HTT,728
DENR,RPS18,962
DENR,RPS4X,920
DENR,EIF3B,805
DENR,RPS6,970
DENR,MCTS1,999
DENR,EIF3J,783
DENR,RWDD1,834
DENR,NCBP2,815
OXSM,NDUFAB1,999
OXSM,ACACB,703
OXSM,AASDHPPT,761
OXSM,ELOVL6,921
KHDRBS2,PRMT1,779
KHDRBS2,PTK6,914
QDPR,AKR1B1,938
SLC25A4,PPIF,998
SLC25A4,VDAC3,983
SLC25A4,CYCS,960
SLC25A4,BCL2,771
EPHA4,CHN1,767
EPHA4,NCK2,778
EPHA4,EFNA5,999
EPHA4,EFNA3,999
TNFSF4,BANK1,706
TNFSF4,LAG3,713
TNFSF4,ICOS,942
TNFSF4,CD27,986
TNFSF4,IL6,703
TNFSF4,TNFRSF4,999
TNFSF4,TNFRSF9,993
TNFSF4,TNFRSF18,774
TNFSF4,CD70,843
TNFSF4,CTLA4,812
TNFSF4,TNFSF9,907
TNFSF4,CD40LG,958
TNFSF4,TNF,754
CYSLTR2,ALOX5AP,749
CYSLTR2,CYSLTR1,976
CYSLTR2,GNG7,722
EPG5,STX17,811
TCF7L1,TLE3,778
TCF7L1,RUVBL1,913
TCF7L1,TLE2,706
TCF7L1,BCL9,803
TCF7L1,MYC,785
ATG10,ATG4A,864
ATG10,WIPI1,803
ATG10,PIK3R4,816
ATG10,NBR1,736
ATG10,GABARAPL1,935
ATG10,UVRAG,773
GPD1L,ADPRM,902
GPD1L,SCN1B,896
GPD1L,GPAM,957
GPD1L,AGPAT5,864
GPD1L,CACNB2,868
GPD1L,RANGRF,774
GPD1L,LPIN2,823
GPD1L,AGPAT4,864
PLOD2,COL1A1,826
PLOD2,COLGALT2,957
PLOD2,COL23A1,829
CD96,KLRC1,778
CD96,CTLA4,764
CD96,CD2,709
CD96,CD3E,728
CD96,NCR1,769
CD96,CD247,759
CD96,NCR3,801
CD96,LAG3,765
CD96,TIGIT,973
RPIA,GPI,804
RPIA,PRPS2,957
RPIA,TKTL1,993
HGD,FAHD2B,752
HOXA10,PBX1,867
HOXA10,MEIS1,863
GDPD1,GDPD3,907
GRAP,SOS2,803
GRAP,LAT,939
C16orf74,PPP3CA,873
NRGN,SNCA,783
FAM167A,MTMR9,871
WNT7A,FZD3,945
XPC,DDB1,920
XPC,PARP1,928
XPC,CETN3,789
XPC,SWSAP1,900
XPC,RNF146,744
XPC,PHF21A,915
XPC,ERCC4,983
XPC,CDK7,808
XPC,RAD23B,999
XPC,FEN1,911
XPC,POLD1,919
XPC,ATR,759
XPC,PARP2,861
CA2,SLC4A4,893
CA2,SLC4A7,793
CA2,CA1,833
CA2,HSPD1,790
AGPAT5,GPD1L,864
AGPAT5,GPAM,879
AGPAT5,LPIN2,761
AGPAT5,AGPAT4,925
AGPAT5,AGK,911
AGPAT5,DGKQ,700
C16orf87,ARID5B,852
OXA1L,UBAC1,718
OXA1L,MRPS30,843
OXA1L,MRPL35,803
OXA1L,MRPS16,904
OXA1L,PTCD3,864
OXA1L,MRPL49,919
OXA1L,TIMM17A,927
OXA1L,MRPL18,831
OXA1L,MRPL17,917
OXA1L,MRPS6,828
OXA1L,MRPS23,805
OXA1L,MRPL34,838
OXA1L,MRPL48,910
OXA1L,MRPL1,839
OXA1L,MRPL10,829
AKR1B1,AKR7A2,919
AKR1B1,CBR3,827
AKR1B1,AKR1C3,911
AKR1B1,ALDH9A1,931
AKR1B1,QDPR,938
SLC26A2,MATN3,907
SLC26A2,COL9A3,821
SMC2,UBE2C,736
SMC2,RFC1,792
SMC2,SMC4,999
SMC2,KNTC1,846
SMC2,CENPF,764
SMC2,KIF4A,774
SMC2,TOP2A,928
SMC2,NDC80,899
SMC2,MCM6,750
VBP1,CCT6A,975
VBP1,CUL2,804
VBP1,CCT2,974
VBP1,TCP1,971
VBP1,CCT4,972
VBP1,PFDN1,999
BATF,PDCD1,802
BATF,RORA,788
BATF,IRF8,770
BATF,MYC,760
BATF,TBX21,723
BATF,BACH2,764
BATF,STAT3,882
BATF,JUN,997
BATF,FOS,915
BATF,CD8A,740
BATF,MAF,818
CXCL13,CCL13,867
CXCL13,CXCL5,902
CXCL13,IL1B,738
CXCL13,CCL28,997
CXCL13,CX3CR1,884
CXCL13,MMP9,701
CXCL13,CD19,785
CXCL13,CXCR6,906
CXCL13,CCL19,998
CXCL13,IFNG,710
CXCL13,CCL18,795
CXCL13,CCL5,956
CXCL13,CXCL1,933
CXCL13,CCL8,756
CXCL13,CD8A,788
CXCL13,TNFSF13B,833
CXCL13,BCL2,725
CXCL13,CXCR3,997
CXCL13,CCL26,719
CXCL13,PF4,946
CXCL13,LTA,751
CXCL13,PPBP,853
CXCL13,CCL3,864
CXCL13,CCL2,998
CXCL13,CXCL3,844
CXCL13,CCL4,949
CXCL13,CCL20,900
CXCL13,CXCL11,987
CXCL13,IL6,726
CXCL13,CXCL9,996
CXCL13,CXCL2,824
CXCL13,CXCL16,873
CXCL13,CXCL10,994
CXCL13,CCL22,778
CXCL13,ICOS,752
WHAMM,ACTB,911
SCAF4,PCF11,742
SCAF4,SETX,926
SCAF4,NCBP2,784
KAT6B,MORF4L2,718
KAT6B,YEATS4,750
EXOG,FEN1,741
ZFYVE9,SMAD3,999
ZNF19,TRIM28,733
APPL1,OCRL,973
APPL1,CASP3,923
APPL1,EGF,766
COQ5,COQ9,993
COQ5,COQ6,997
MRPL17,POLR2C,939
MRPL17,EIF5A2,830
MRPL17,MRPL18,976
MRPL17,CD74,971
MRPL17,GTPBP8,922
MRPL17,POLR2B,903
MRPL17,NDUFAB1,992
MRPL17,MRPS23,863
MRPL17,MRPS6,999
MRPL17,COA4,757
MRPL17,MRPS30,982
MRPL17,MRPL35,890
MRPL17,IMP3,984
MRPL17,APMAP,731
MRPL17,MRTO4,985
MRPL17,PTCD3,828
MRPL17,MRPL49,996
MRPL17,ACSF2,933
MRPL17,MRPS16,999
MRPL17,RPS18,999
MRPL17,TSTD3,782
MRPL17,MRPL10,989
MRPL17,SOD2,885
MRPL17,MRPL1,996
MRPL17,MALSU1,993
MRPL17,OXA1L,917
MRPL17,EIF5A,837
MRPL17,MRPL34,996
MRPL17,POLR3A,949
MRPL17,SRP54,941
MRPL17,EIF5B,794
MRPL17,RPL3,972
MRPL17,HMGN2,908
MRPL17,RPUSD2,701
MRPL17,PEBP1,786
MRPL17,MRPL48,869
EIF5B,MRTO4,874
EIF5B,APMAP,781
EIF5B,IMP3,936
EIF5B,RPS18,987
EIF5B,MRPS16,903
EIF5B,RPS4X,950
EIF5B,POLR2B,779
EIF5B,CD74,908
EIF5B,MRPL17,794
EIF5B,MRPS6,928
EIF5B,RPS6,986
EIF5B,EIF3B,944
EIF5B,RPL3,985
EIF5B,POLR3A,817
EIF5B,RPL39L,842
EIF5B,HMGN2,715
EIF5B,MRPL1,834
FCER1G,PIK3R1,906
FCER1G,CD14,718
FCER1G,MS4A1,758
FCER1G,FCGR3B,999
FCER1G,FCER1A,997
FCER1G,TYROBP,999
FCER1G,CLEC4C,913
FCER1G,CD247,989
FCER1G,FYN,981
FCER1G,LAT,817
FCER1G,NCR1,999
FCER1G,C3AR1,844
FCER1G,FCGR3A,999
FCER1G,NCR3,998
FCER1G,KLRD1,748
FCER1G,ZAP70,976
FCER1G,CLEC4E,999
FCER1G,CLEC5A,822
FCER1G,KLRC2,775
FCER1G,C1QB,718
FCER1G,AIF1,782
MIS18A,RBBP7,874
MIS18A,MIS18BP1,999
MIS18A,CENPL,709
MIS18A,CENPC,895
MRPL10,MRPL18,944
MRPL10,NDUFAB1,943
MRPL10,MRPL17,989
MRPL10,MRPS6,964
MRPL10,MRPS23,889
MRPL10,MRPS30,969
MRPL10,IMP3,743
MRPL10,MRPL35,966
MRPL10,MRPS16,976
MRPL10,PTCD3,870
MRPL10,MRPL49,993
MRPL10,MALSU1,933
MRPL10,MRPL1,980
MRPL10,OXA1L,829
MRPL10,ACTR5,820
MRPL10,MRPL34,989
MRPL10,MRPL48,951
CBR3,AKR1B1,827
RSPH1,ZMYND10,844
S100B,AIF1,706
S100B,MBP,759
S100B,SLC6A4,725
S100B,S100A4,757
NCR1,IL2RB,700
NCR1,TBX21,749
NCR1,GZMB,753
NCR1,KLRF1,847
NCR1,FCGR3B,955
NCR1,SS18,720
NCR1,KLRG1,743
NCR1,CD96,769
NCR1,BCL11A,734
NCR1,CD27,802
NCR1,KLRD1,907
NCR1,SLAMF1,705
NCR1,NCR3,992
NCR1,FCER1G,999
NCR1,B3GAT1,709
NCR1,CD3E,715
NCR1,CD2,750
NCR1,PRF1,907
NCR1,CD244,879
NCR1,CD19,746
NCR1,CD69,737
NCR1,CLEC2B,703
NCR1,SMARCD3,720
NCR1,KLRC1,886
NCR1,TYROBP,974
NCR1,KLRB1,812
NCR1,SMARCA2,720
NCR1,CD8A,790
NCR1,IL2,836
NCR1,CD247,999
NCR1,SLAMF7,731
NCR1,FCGR3A,985
NCR1,BCL7C,720
NCR1,IFNG,890
NCR1,KLRC2,835
NCR1,CFP,974
CCDC12,CDC40,997
CCDC12,RNF113A,848
CCDC12,CWC22,801
CCDC12,TCERG1,900
CCDC12,PPIE,794
CCDC12,SRRT,802
CCDC12,UPF3B,837
CCDC12,USB1,726
RNF126,UBL4A,825
PTCD1,PTCD3,725
PTCD1,MALSU1,700
PTCD1,FASTKD3,855
ALKBH4,ALKBH7,865
ALKBH4,ALKBH1,955
DCUN1D1,CUL4B,953
DCUN1D1,DDB1,729
DCUN1D1,CUL2,963
DCUN1D1,CAND1,969
ZNF382,TRIM28,968
GRIN2C,PVALB,707
GRIN2C,PRKACB,730
GRIN2C,P2RX5,906
STAT5B,STAT1,958
STAT5B,JAK2,999
STAT5B,CTLA4,744
STAT5B,IRF9,949
STAT5B,IL2,956
STAT5B,ETS1,839
STAT5B,GATA3,763
STAT5B,IL2RB,976
STAT5B,SOCS3,900
STAT5B,TBX21,727
STAT5B,EPOR,972
STAT5B,PDGFRB,726
STAT5B,NR3C1,835
STAT5B,IL6,807
STAT5B,STAT3,998
STAT5B,EZH2,901
STAT5B,PIM1,821
STAT5B,LCK,790
STAT5B,STAT4,827
STAT5B,IFNG,823
STAT5B,CSF2,935
STAT5B,FYN,734
STAT5B,CD8A,794
STAT5B,NCOR2,707
STAT5B,CRKL,983
STAT5B,BCL2A1,733
STAT5B,IL2RA,989
STAT5B,OSM,726
STAT5B,IL7R,941
STAT5B,SOCS1,926
STAT5B,SOCS4,813
STAT5B,JAK1,999
STAT5B,STAT2,881
HCRT,FOS,794
HCRT,AVP,723
HCRT,PMCH,996
HCRT,HLA-DQA1,972
HCRT,CRHR1,768
HCRT,TRH,785
HCRT,HLA-DQB1,986
SYCE2,STAG3,851
SYCE2,SYCE1,999
SYCE2,SYCP3,970
MED11,TAF7,801
MED11,THRAP3,902
MED11,TAF3,800
MED11,CDK7,843
MED11,MED30,999
MED11,POLR2B,876
MED11,POLR2K,814
MED11,POLR2C,934
MED11,MED24,997
MED11,MED6,999
MED11,MED10,999
MED11,MED16,998
MED11,CDK8,986
MED11,MED17,999
CXCL16,CCL19,793
CXCL16,CXCL1,907
CXCL16,CCL5,898
CXCL16,CXCL13,873
CXCL16,CXCR3,980
CXCL16,PF4,772
CXCL16,CXCL5,840
CXCL16,CCL13,751
CXCL16,CX3CR1,972
CXCL16,CXCR6,999
CXCL16,CXCL9,907
CXCL16,CXCL2,809
CXCL16,CXCL10,902
CXCL16,CXCL3,782
CXCL16,CCL3,740
CXCL16,PPBP,708
CXCL16,CXCL11,832
CXCL16,CCL20,849
CXCL16,CCL4,790
GNG3,GNG7,711
GNG3,GNG2,705
GNG3,GNAL,799
GNG3,GNG11,809
GNG3,RASD1,708
GNG3,GNAS,967
GNG3,OPRM1,704
GNG3,GNAO1,925
GNG3,PREX1,902
GFI1,GATA2,924
GFI1,ATXN1,847
REL,NFATC2,711
REL,BIRC3,772
REL,MALT1,874
REL,IRF1,713
REL,FOS,754
REL,NFKBID,952
REL,IL1B,772
REL,TNF,899
REL,MYC,744
REL,ARHGEF7,824
NUP35,NUP54,993
NUP35,NUP188,999
HPGDS,PPIG,714
HPGDS,PTGDR,704
HPGDS,PTGDS,991
HPGDS,GSS,952
HPGDS,PRDX6,942
HPGDS,CYP1B1,954
HPGDS,MGST2,907
HPGDS,GSTM2,790
HPGDS,GSR,964
HPGDS,AKR1C3,936
PROK2,CHD7,870
FSTL1,SPARC,779
FSTL1,TLR6,916
IGFBP7,JUN,850
IGFBP7,LCN2,720
IGFBP7,IGFBP6,700
IGFBP7,FOS,793
IGFBP7,IGFBP3,764
RETNLB,TNF,793
RETNLB,IL1B,727
RETNLB,IFNG,747
RETNLB,CCL2,719
RETNLB,CFD,720
RETNLB,IL6,821
TRAT1,ZAP70,956
TRAT1,TRIM22,965
TRAT1,ICOS,866
TRAT1,CD8B,933
TRAT1,CD3G,970
TRAT1,CD8A,948
TRAT1,CD247,987
TRAT1,LCK,767
TRAT1,TRIM28,817
TRAT1,KLRB1,705
TRAT1,CD3E,974
TRAT1,CD2,774
TRAT1,SH2D1A,850
TRAT1,LAX1,944
STT3B,DDOST,999
STT3B,MLEC,979
PRKCI,MARK2,796
PRKCI,PARD3,999
PRKCI,RAC2,927
PRKCI,STK11,914
PRKCI,PIK3R1,919
PRKCI,PARD6G,990
PRKCI,PPP2R2B,907
EIF5A2,RPL3,830
EIF5A2,RPL39L,767
EIF5A2,MRPL1,800
EIF5A2,EIF5A,902
EIF5A2,IMP3,869
EIF5A2,RPS18,962
EIF5A2,MRPS16,889
EIF5A2,RPS4X,757
EIF5A2,CD74,765
EIF5A2,RPS6,936
EIF5A2,MRPS6,882
EIF5A2,MRPL17,830
CCNL1,SRSF2,762
PTX3,C1QB,914
PTX3,TNFAIP6,975
PTX3,FCN1,982
PTX3,IL6,806
TTC14,PNISR,736
CXCL3,CCL19,840
CXCL3,CSF2,730
CXCL3,CCL18,734
CXCL3,CCL5,811
CXCL3,CXCL1,996
CXCL3,CXCL13,844
CXCL3,CXCR3,895
CXCL3,CCL13,828
CXCL3,CXCL5,999
CXCL3,IL1B,860
CXCL3,CX3CR1,780
CXCL3,CXCR6,764
CXCL3,IL6,810
CXCL3,CXCL2,995
CXCL3,CXCL16,782
CXCL3,XCL2,995
CXCL3,CCL22,713
CXCL3,CXCL10,971
CXCL3,JUN,932
CXCL3,PPBP,765
CXCL3,CCL2,856
CXCL3,CCL4,832
CXCL3,CCL20,951
CXCL3,CXCL11,966
CXCL5,CXCL11,978
CXCL5,CCL4,899
CXCL5,CCL20,999
CXCL5,CXCL3,999
CXCL5,CCL3,823
CXCL5,CCL2,891
CXCL5,PPBP,833
CXCL5,XCL2,995
CXCL5,CCL22,874
CXCL5,CXCL10,974
CXCL5,CXCL16,840
CXCL5,CXCL2,998
CXCL5,IL6,862
CXCL5,CXCR6,793
CXCL5,MMP9,830
CXCL5,CX3CR1,781
CXCL5,TNF,717
CXCL5,IL1B,771
CXCL5,CCL13,804
CXCL5,CCL26,708
CXCL5,CXCL13,902
CXCL5,CXCR3,923
CXCL5,CCL5,924
CXCL5,CXCL1,999
CXCL5,CCL18,750
CXCL5,CCL19,880
CXCL5,IFNG,803
CXCL5,CSF2,821
CXCL5,CCL7,728
PPBP,CXCL10,999
PPBP,CCL22,709
PPBP,CXCL16,708
PPBP,CXCL9,997
PPBP,CXCL2,775
PPBP,CCL20,814
PPBP,CCL4,842
PPBP,CXCL11,999
PPBP,CCL3,705
PPBP,CXCL3,765
PPBP,PF4,936
PPBP,CCL26,995
PPBP,CXCR3,906
PPBP,CXCL13,853
PPBP,CXCL1,878
PPBP,CCL5,998
PPBP,CCL8,997
PPBP,IFNG,755
PPBP,CCL19,818
PPBP,CXCR6,839
PPBP,CCL28,997
PPBP,CX3CR1,757
PPBP,CCL13,998
PPBP,CXCL5,833
PF4,CXCR6,755
PF4,TNF,714
PF4,THBS1,729
PF4,CCL13,997
PF4,CX3CR1,797
PF4,CCL28,997
PF4,CXCR3,999
PF4,CXCL13,946
PF4,CCL26,995
PF4,CCL19,705
PF4,CCL5,999
PF4,GP1BA,721
PF4,XCL1,996
PF4,CXCL11,999
PF4,GP9,715
PF4,CCL4,752
PF4,CCL20,998
PF4,CCL3,734
PF4,CCL2,998
PF4,PPBP,936
PF4,CXCL16,772
PF4,CLEC1B,710
PF4,CXCL10,999
PF4,XCL2,995
PF4,ITGA2B,789
PF4,CXCL9,999
PF4,CXCL2,996
LZTFL1,BBS7,982
LZTFL1,BBS4,976
LZTFL1,BBIP1,821
LZTFL1,IFT27,752
LZTFL1,BBS1,972
ITGB5,LTBP1,716
ITGB5,MYLK,760
ITGB5,COL6A2,859
ITGB5,LAMA5,843
ITGB5,ITGA10,971
ITGB5,ITGB3,954
ITGB5,ITGA2B,741
ITGB5,SPP1,968
ITGB5,COL1A1,859
ITGB5,ACTB,931
ITGB5,ITGA4,967
ITGB5,THBS1,859
ITGB5,THBS4,700
METAP1,RPL3,705
METAP1,POLR2B,707
METAP1,MRPS6,725
METAP1,IMP3,747
METAP1,MRTO4,761
METAP1,RPS18,801
HMGB2,NCL,838
HMGB2,GZMA,753
LSM6,RNF113A,906
LSM6,LSM1,999
LSM6,NCBP2,881
LSM6,CWC22,908
LSM6,TXNL4A,997
LSM6,LSM2,999
LSM6,WBP11,879
LSM6,SF3B3,992
LSM6,NOP58,816
LSM6,TCERG1,804
LSM6,SRSF1,828
LSM6,PATL2,842
NDUFAF2,NDUFAF6,913
NDUFAF2,NDUFS3,982
NDUFAF2,NDUFAB1,941
NDUFAF2,TMEM126B,789
NDUFAF2,NDUFAF5,947
SPINK1,PRSS1,999
SPINK1,CTSB,742
TCERG1,HTT,958
TCERG1,LUC7L3,792
TCERG1,SF3B3,977
TCERG1,BCAS2,903
TCERG1,WBP11,971
TCERG1,SRRT,839
TCERG1,SRSF1,927
TCERG1,PPP1R8,844
TCERG1,NCBP2,840
TCERG1,CCDC12,900
TCERG1,LSM6,804
TCERG1,HTATSF1,955
TCERG1,CDC40,866
TCERG1,TXNL4A,803
TCERG1,LSM2,833
ERAP1,NUCB2,924
ERAP1,TNF,728
MAP1B,RASSF1,832
MAP1B,NBR1,762
MAP1B,GABARAPL1,903
MAP1B,FMR1,957
ANKRA2,HDAC4,995
CSF2,IL2,997
CSF2,CD8A,873
CSF2,IL12RB2,782
CSF2,IL11,718
CSF2,STAT5B,935
CSF2,FCGR3A,769
CSF2,CCL19,743
CSF2,IFNG,984
CSF2,IL27RA,746
CSF2,IGLL5,908
CSF2,CXCL1,931
CSF2,CCL5,922
CSF2,IRF1,731
CSF2,JAK2,956
CSF2,CD19,741
CSF2,CTLA4,750
CSF2,CD40LG,787
CSF2,CXCL5,821
CSF2,IL1B,998
CSF2,TNF,970
CSF2,CCL3L1,729
CSF2,IFNB1,830
CSF2,FCGR3B,766
CSF2,JAK1,737
CSF2,CXCL10,911
CSF2,CCL22,800
CSF2,STAT3,851
CSF2,IL7R,851
CSF2,CD83,800
CSF2,CD1D,739
CSF2,IL6,974
CSF2,CXCL9,736
CSF2,EGF,891
CSF2,CXCL2,823
CSF2,FASLG,738
CSF2,IL5RA,977
CSF2,IL2RA,869
CSF2,CCL4,924
CSF2,CCL20,869
CSF2,PDGFRB,824
CSF2,LTA,822
CSF2,IL2RB,840
CSF2,CCL3,935
CSF2,CCL2,931
CSF2,CXCL3,730
CSF2,GZMB,775
CSF2,EPOR,861
COG5,COG3,999
COG5,DUS4L,748
MED30,POLR2B,875
MED30,POLR2C,895
MED30,POLR2K,842
MED30,MED24,996
MED30,MED17,999
MED30,CDK8,997
MED30,ZC3H13,995
MED30,MED11,999
MED30,MED16,997
MED30,MED6,999
MED30,THRAP3,907
MED30,TAF7,800
MED30,CDK7,837
MED30,MED10,999
